Name,Position,Week,FantasyPoints
Christian McCaffrey,RB,6,22.26403172311691
Bucky Irving,RB,6,21.59179523634472
Jonathan Taylor,RB,6,19.14445714750924
Ashton Jeanty,RB,6,18.40065249753043
Josh Jacobs,RB,6,17.83471500890736
Bijan Robinson,RB,6,16.68127950608757
Breece Hall,RB,6,16.06837976291292
Javonte Williams,RB,6,15.86487993353489
Kyren Williams,RB,6,15.56105916142344
Rico Dowdle,RB,6,15.53230738459364
Cam Skattebo,RB,6,15.14330943787284
Jahmyr Gibbs,RB,6,14.77470865215943
De'Von Achane,RB,6,14.57399420039855
D'Andre Swift,RB,6,14.11933603184253
J.K. Dobbins,RB,6,13.44855104119502
Alvin Kamara,RB,6,12.97740475817102
Kenneth Gainwell,RB,6,12.66493276042508
Jacory Croskey-Merritt,RB,6,12.62419653412202
James Cook,RB,6,12.46821656724659
Kareem Hunt,RB,6,12.35488495298937
Saquon Barkley,RB,6,11.95962316744143
RJ Harvey,RB,6,11.64353085357999
Jaylen Warren,RB,6,11.5018950822248
David Montgomery,RB,6,11.31519168480297
Kendre Miller,RB,6,11.01986245817356
Michael Carter,RB,6,10.93053621146431
Isiah Pacheco,RB,6,10.78306106076267
Kenneth Walker III,RB,6,10.59439574912712
Chuba Hubbard,RB,6,10.5629662909678
Justice Hill,RB,6,9.707980886751752
Rachaad White,RB,6,9.682122302408997
Tony Pollard,RB,6,9.157078669595638
Derrick Henry,RB,6,8.70859201754149
Chase Brown,RB,6,8.591764054971877
Zach Charbonnet,RB,6,8.51113847181149
Rhamondre Stevenson,RB,6,8.479830113925988
TreVeyon Henderson,RB,6,8.466575555340768
Miles Sanders,RB,6,7.650072826470886
Emari Demercado,RB,6,6.97804997714067
Tyler Allgeier,RB,6,6.759965991230731
Emanuel Wilson,RB,6,6.362225288736069
Jerome Ford,RB,6,6.028897670541886
Bhayshul Tuten,RB,6,5.682993949447008
Brashard Smith,RB,6,5.570636441933523
Raheim Sanders,RB,6,5.537458464298496
Isaiah Davis,RB,6,4.433907364100403
Devin Neal,RB,6,3.946994604475268
Andrew Beck,RB,6,3.822556423084662
Kyle Monangai,RB,6,3.811667042600906
Tyjae Spears,RB,6,3.717901031249954
Trevor Etienne,RB,6,3.694626211251499
Jeremy McNichols,RB,6,3.643323051536405
Blake Corum,RB,6,3.623809821090132
DJ Giddens,RB,6,3.577658970244216
Hassan Haskins,RB,6,3.184995374552349
Kaleb Johnson,RB,6,3.103711672180197
Samaje Perine,RB,6,3.04852085895718
Devin Singletary,RB,6,2.647256426358672
Dylan Sampson,RB,6,2.423622221940763
Julius Chestnut,RB,6,2.411238554758662
Roschon Johnson,RB,6,2.404289788606404
Zamir White,RB,6,2.187737583523703
Ray Davis,RB,6,1.975684455645338
George Holani,RB,6,1.964643703942135
Will Shipley,RB,6,1.842040414380345
Chris Brooks,RB,6,1.771641670028685
Tyler Badie,RB,6,1.422637073865513
Craig Reynolds,RB,6,1.421926311568191
Tahj Brooks,RB,6,1.343007872071607
Ty Johnson,RB,6,1.1912869001123
AJ Dillon,RB,6,0.8803068129833314
Sean Tucker,RB,6,0.839666217143292
Rasheen Ali,RB,6,0.8042349708102825
Dylan Laube,RB,6,-0.4196183169186156
